Vendor,Hostname,Port,Tx Power (dBm),Rx Power (dBm)
Nokia,sr1,1/1/c1/Lane1,2.29,-8.29
Nokia,sr1,1/1/c1/Lane2,2.25,-6.92
Nokia,sr1,1/1/c1/Lane3,1.84,-8.14
Nokia,sr1,1/1/c1/Lane4,2.15,-5.13
Nokia,sr1,1/1/c2/Lane1,2.29,-8.29
Nokia,sr1,1/1/c2/Lane2,2.25,-6.92
Nokia,sr1,1/1/c2/Lane3,1.84,-8.14
Nokia,sr1,1/1/c2/Lane4,2.15,-5.13
Nokia,sr1,1/1/c3/Lane1,2.29,-8.29
Nokia,sr1,1/1/c3/Lane2,2.25,-6.92
Nokia,sr1,1/1/c3/Lane3,1.84,-8.14
Nokia,sr1,1/1/c3/Lane4,2.15,-5.13
Nokia,sr1,1/1/c4/Lane1,2.29,-8.29
Nokia,sr1,1/1/c4/Lane2,2.25,-6.92
Nokia,sr1,1/1/c4/Lane3,1.84,-8.14
Nokia,sr1,1/1/c4/Lane4,2.15,-5.13
Nokia,sr1,1/1/c5/Lane1,2.29,-8.29
Nokia,sr1,1/1/c5/Lane2,2.25,-6.92
Nokia,sr1,1/1/c5/Lane3,1.84,-8.14
Nokia,sr1,1/1/c5/Lane4,2.15,-5.13
Nokia,sr1,1/1/c6/Lane1,2.29,-8.29
Nokia,sr1,1/1/c6/Lane2,2.25,-6.92
Nokia,sr1,1/1/c6/Lane3,1.84,-8.14
Nokia,sr1,1/1/c6/Lane4,2.15,-5.13
Nokia,sr1,1/1/c7/Lane1,2.29,-8.29
Nokia,sr1,1/1/c7/Lane2,2.25,-6.92
Nokia,sr1,1/1/c7/Lane3,1.84,-8.14
Nokia,sr1,1/1/c7/Lane4,2.15,-5.13
Nokia,sr1,1/1/c8/Lane1,2.29,-8.29
Nokia,sr1,1/1/c8/Lane2,2.25,-6.92
Nokia,sr1,1/1/c8/Lane3,1.84,-8.14
Nokia,sr1,1/1/c8/Lane4,2.15,-5.13
Nokia,sr1,1/1/c9/Lane1,2.29,-8.29
Nokia,sr1,1/1/c9/Lane2,2.25,-6.92
Nokia,sr1,1/1/c9/Lane3,1.84,-8.14
Nokia,sr1,1/1/c9/Lane4,2.15,-5.13
Nokia,sr1,1/1/c10/Lane1,2.29,-8.29
Nokia,sr1,1/1/c10/Lane2,2.25,-6.92
Nokia,sr1,1/1/c10/Lane3,1.84,-8.14
Nokia,sr1,1/1/c10/Lane4,2.15,-5.13
Nokia,sr1,1/1/c11/Lane1,2.29,-8.29
Nokia,sr1,1/1/c11/Lane2,2.25,-6.92
Nokia,sr1,1/1/c11/Lane3,1.84,-8.14
Nokia,sr1,1/1/c11/Lane4,2.15,-5.13
Nokia,sr1,1/1/c12/Lane1,2.29,-8.29
Nokia,sr1,1/1/c12/Lane2,2.25,-6.92
Nokia,sr1,1/1/c12/Lane3,1.84,-8.14
Nokia,sr1,1/1/c12/Lane4,2.15,-5.13
Nokia,sr1,1/1/c13/Lane1,2.29,-8.29
Nokia,sr1,1/1/c13/Lane2,2.25,-6.92
Nokia,sr1,1/1/c13/Lane3,1.84,-8.14
Nokia,sr1,1/1/c13/Lane4,2.15,-5.13
Nokia,sr1,1/1/c14/Lane1,2.29,-8.29
Nokia,sr1,1/1/c14/Lane2,2.25,-6.92
Nokia,sr1,1/1/c14/Lane3,1.84,-8.14
Nokia,sr1,1/1/c14/Lane4,2.15,-5.13
Nokia,sr1,1/1/c15/Lane1,2.29,-8.29
Nokia,sr1,1/1/c15/Lane2,2.25,-6.92
Nokia,sr1,1/1/c15/Lane3,1.84,-8.14
Nokia,sr1,1/1/c15/Lane4,2.15,-5.13
Nokia,sr1,1/1/c16/Lane1,2.29,-8.29
Nokia,sr1,1/1/c16/Lane2,2.25,-6.92
Nokia,sr1,1/1/c16/Lane3,1.84,-8.14
Nokia,sr1,1/1/c16/Lane4,2.15,-5.13
Nokia,sr1,1/1/c17/Lane1,2.29,-8.29
Nokia,sr1,1/1/c17/Lane2,2.25,-6.92
Nokia,sr1,1/1/c17/Lane3,1.84,-8.14
Nokia,sr1,1/1/c17/Lane4,2.15,-5.13
Nokia,sr1,1/1/c18/Lane1,2.29,-8.29
Nokia,sr1,1/1/c18/Lane2,2.25,-6.92
Nokia,sr1,1/1/c18/Lane3,1.84,-8.14
Nokia,sr1,1/1/c18/Lane4,2.15,-5.13
Nokia,sr1,1/1/c19/Lane1,2.29,-8.29
Nokia,sr1,1/1/c19/Lane2,2.25,-6.92
Nokia,sr1,1/1/c19/Lane3,1.84,-8.14
Nokia,sr1,1/1/c19/Lane4,2.15,-5.13
Nokia,sr1,1/1/c20/Lane1,2.29,-8.29
Nokia,sr1,1/1/c20/Lane2,2.25,-6.92
Nokia,sr1,1/1/c20/Lane3,1.84,-8.14
Nokia,sr1,1/1/c20/Lane4,2.15,-5.13
Nokia,sr1,1/1/c21/Lane1,2.29,-8.29
Nokia,sr1,1/1/c21/Lane2,2.25,-6.92
Nokia,sr1,1/1/c21/Lane3,1.84,-8.14
Nokia,sr1,1/1/c21/Lane4,2.15,-5.13
Nokia,sr1,1/1/c22/Lane1,2.29,-8.29
Nokia,sr1,1/1/c22/Lane2,2.25,-6.92
Nokia,sr1,1/1/c22/Lane3,1.84,-8.14
Nokia,sr1,1/1/c22/Lane4,2.15,-5.13
Nokia,sr1,1/1/c23/Lane1,2.29,-8.29
Nokia,sr1,1/1/c23/Lane2,2.25,-6.92
Nokia,sr1,1/1/c23/Lane3,1.84,-8.14
Nokia,sr1,1/1/c23/Lane4,2.15,-5.13
Nokia,sr1,1/1/c24/Lane1,2.29,-8.29
Nokia,sr1,1/1/c24/Lane2,2.25,-6.92
Nokia,sr1,1/1/c24/Lane3,1.84,-8.14
Nokia,sr1,1/1/c24/Lane4,2.15,-5.13
Nokia,sr1,1/1/c25/Lane1,2.29,-8.29
Nokia,sr1,1/1/c25/Lane2,2.25,-6.92
Nokia,sr1,1/1/c25/Lane3,1.84,-8.14
Nokia,sr1,1/1/c25/Lane4,2.15,-5.13
Nokia,sr1,1/1/c26/Lane1,2.29,-8.29
Nokia,sr1,1/1/c26/Lane2,2.25,-6.92
Nokia,sr1,1/1/c26/Lane3,1.84,-8.14
Nokia,sr1,1/1/c26/Lane4,2.15,-5.13
Nokia,sr1,1/1/c27/Lane1,2.29,-8.29
Nokia,sr1,1/1/c27/Lane2,2.25,-6.92
Nokia,sr1,1/1/c27/Lane3,1.84,-8.14
Nokia,sr1,1/1/c27/Lane4,2.15,-5.13
Nokia,sr1,1/1/c28/Lane1,2.29,-8.29
Nokia,sr1,1/1/c28/Lane2,2.25,-6.92
Nokia,sr1,1/1/c28/Lane3,1.84,-8.14
Nokia,sr1,1/1/c28/Lane4,2.15,-5.13
Nokia,sr1,1/1/c29/Lane1,2.29,-8.29
Nokia,sr1,1/1/c29/Lane2,2.25,-6.92
Nokia,sr1,1/1/c29/Lane3,1.84,-8.14
Nokia,sr1,1/1/c29/Lane4,2.15,-5.13
Nokia,sr1,1/1/c30/Lane1,2.29,-8.29
Nokia,sr1,1/1/c30/Lane2,2.25,-6.92
Nokia,sr1,1/1/c30/Lane3,1.84,-8.14
Nokia,sr1,1/1/c30/Lane4,2.15,-5.13
Nokia,sr1,1/1/c31/Lane1,2.29,-8.29
Nokia,sr1,1/1/c31/Lane2,2.25,-6.92
Nokia,sr1,1/1/c31/Lane3,1.84,-8.14
Nokia,sr1,1/1/c31/Lane4,2.15,-5.13
Nokia,sr1,1/1/c32/Lane1,2.29,-8.29
Nokia,sr1,1/1/c32/Lane2,2.25,-6.92
Nokia,sr1,1/1/c32/Lane3,1.84,-8.14
Nokia,sr1,1/1/c32/Lane4,2.15,-5.13
Nokia,sr1,1/1/c33/Lane1,2.29,-8.29
Nokia,sr1,1/1/c33/Lane2,2.25,-6.92
Nokia,sr1,1/1/c33/Lane3,1.84,-8.14
Nokia,sr1,1/1/c33/Lane4,2.15,-5.13
Nokia,sr1,1/1/c34/Lane1,2.29,-8.29
Nokia,sr1,1/1/c34/Lane2,2.25,-6.92
